1 3 64.51 -147.43 5
1 335 52.07 11.38 3
1 343 51.28 7.13 3
1 346 51.19 9.29 3
1 351 51.03 13.44 3
1 363 46.57 7.26 3
1 366 47.16 11.24 3
1 369 48.13 16.2 3
1 376 44.25 8.57 3
1 380 39.2 9 3
1 388 38.07 13.21 3
1 392 53.08 18 3
1 393 52.25 16.55 3
1 394 51.46 19.3 3
1 396 53.09 23.09 3
1 408 47.32 21.38 3
1 411 45.45 21.13 3
1 418 46.03 14.31 3
1 431 39.36 19.56 3
1 444 53.54 27.34 3
1 447 46.28 30.44 3
1 453 50 36.15 3
1 457 48.44 44.25 4
1 459 41.43 44.49 4
1 476 47.55 106.53 2
1 484 48.27 135.06 2
1 487 41.01 28.58 3
1 496 34.44 36.43 4
1 502 31.46 35.14 4
1 504 21.3 39.12 4
1 513 26.13 50.35 4
1 519 36.2 43.08 4
1 534 31.25 73.05 4
1 536 30.12 67 4
1 548 23.02 72.37 4
1 551 18.58 72.5 4
1 556 13.05 80.17 4
1 557 10.49 78.41 4
1 561 27.28 89.39 2
1 567 19.52 102.08 2
1 570 16.28 107.36 2
1 573 11.33 104.55 2
1 577 1.17 103.51 2
1 583 -7.48 110.22 2
1 591 -5.07 119.24 2
1 594 -5.4 132.45 2
1 597 10.42 122.34 2
1 601 25.03 121.3 2
1 606 29.39 106.34 2
1 617 39.55 116.25 2
1 619 41.48 123.27 2
1 630 35 135.45 2
1 633 32.48 129.55 2
1 646 -27.28 153.02 2
1 653 -21.08 -175.12 5
1 657 -9.26 159.57 2
1 661 1.52 -157.2 5
1 662 -9.45 -139 5
1 663 -17.32 -149.34 5
2 6 49.16 -123.07 5
2 10 52.07 -106.38 5
2 12 58.46 -94.1 5
2 14 45.25 -75.42 5
2 20 47.4 -117.23 5
2 21 38.35 -121.3 5
2 25 40.46 -111.53 5
2 26 33.27 -112.05 5
2 29 31.45 -106.29 5
2 30 46.47 -92.06 5
2 33 39.07 -94.39 5
2 37 43.02 -87.55 5
2 40 35.08 -90.03 5
2 41 29.58 -90.07 5
2 44 39.06 -84.31 5
2 46 42.21 -71.04 5
2 49 38.54 -77.01 5
2 52 25.05 -77.21 5
2 55 25.4 -100.19 5
2 56 22.13 -97.51 5
2 58 20.4 -103.2 5
2 61 19.2 -96.4 5
2 64 17.59 -92.55 5
2 69 14.06 -87.13 5
2 70 12.09 -86.17 5
2 72 8.58 -79.32 5
2 73 23.08 -82.22 5
2 75 20.01 -75.49 5
2 83 12.06 -68.56 5
2 86 6.48 -58.1 5
2 91 4.36 -74.05 5
2 93 -0.56 -91.01 5
2 97 -3.46 -73.15 5
2 101 -16.24 -71.33 5
2 111 -38 -57.33 1
2 115 -31.24 -64.11 5
2 116 -32.53 -68.49 5
2 120 -27.35 -48.34 1
2 122 -23.32 -46.37 1
2 128 -16.4 -49.16 1
2 133 -3.43 -38.3 1
2 140 28.06 -15.24 3
2 143 33.39 -7.35 3
2 148 36.47 3.03 3
2 152 34.44 10.46 3
2 153 32.54 13.11 3
2 154 32.07 20.04 3
2 157 29.58 32.33 2
2 158 30.03 31.15 2
2 159 24.05 32.53 2
2 160 19.37 37.14 2
2 163 13.38 25.21 2
2 168 14.4 -17.26 1
2 169 13.28 -16.39 1
2 170 11.51 -15.35 1
2 171 16.46 -3.01 1
2 172 12.39 -8 1
2 174 9.31 -13.43 1
2 175 8.3 -13.15 1
2 176 6.18 -10.47 1
2 178 6.41 -1.35 1
2 179 5.33 -0.13 1
2 182 12.22 -1.31 1
2 184 12 8.3 1
2 189 0.2 6.44 1
2 192 4.22 18.35 1
2 193 0.23 9.27 1
2 194 -4.16 15.17 1
2 196 0.04 18.16 1
2 202 -1.17 36.49 2
2 204 -4.03 39.4 2
2 206 -6.48 39.17 2
2 212 -20.09 28.36 1
2 216 -25.58 32.35 1
2 219 -22.59 14.31 1
2 220 -22.34 17.06 1
2 228 -33.58 25.4 1
2 229 -33.55 18.22 1
2 231 -18.55 47.31 2
2 233 -20.1 57.3 2
2 235 37.44 -25.4 3
2 239 36.32 -6.18 3
2 240 36.43 -4.25 3
2 242 37.53 -4.46 3
2 246 41.38 -0.53 3
2 247 40.24 -3.41 3
2 248 41.39 -4.43 3
2 249 43.15 -2.58 3
2 251 38.54 1.26 3
2 255 43.36 1.26 3
2 257 43.42 7.15 3
2 259 42.42 9.27 3
2 261 45.26 4.24 3
2 262 45.45 4.51 3
2 266 47.13 -1.33 3
2 267 47.23 0.41 3
2 272 48.41 6.12 3
2 274 49.36 6.09 3
2 276 50.5 4.2 3
2 277 50.38 3.04 3
2 283 52.05 5.08 3
2 288 51.29 -3.13 3
2 289 51.27 -2.35 3
2 290 51.3 -0.1 3
2 292 53.25 -2.55 3
2 295 53.5 -1.35 3
2 296 54.59 -1.35 3
2 298 55.53 -4.15 3
2 299 56.28 -3 3
2 302 62.01 -6.46 3
2 303 51.54 -8.28 3
2 306 54.35 -5.55 3
2 307 55 -7.19 3
2 310 76.34 -68.47 5
2 311 70.4 23.42 3
2 312 68.26 17.25 3
2 313 65.01 25.28 3
2 314 61.3 23.45 3
2 318 60.23 5.2 3
2 322 55.36 13 3
2 323 58.25 15.37 3
2 325 57.38 18.18 3
2 326 56.09 10.13 3
2 327 55.24 10.23 3
2 328 55.4 12.35 3
2 330 53.33 9.59 3
2 331 54.2 10.08 3
2 333 51.57 7.37 3
2 336 52.31 13.24 3
2 337 50.47 6.05 3
2 339 50.56 6.59 3
2 342 51.28 7.01 3
2 345 51.31 7.28 3
2 347 50.58 11.01 3
2 348 51.29 11.58 3
2 353 50.07 8.4 3
2 355 49.48 9.56 3
2 356 49.27 11.04 3
2 357 49.03 8.24 3
2 360 48.08 11.34 3
2 361 46.12 6.09 3
2 367 47.48 13.02 3
2 370 47.05 15.27 3
2 371 45.03 7.4 3
2 372 45.28 9.12 3
2 375 45.4 13.46 3
2 378 43.46 11.15 3
2 379 43.55 12.28 3
2 381 41.54 12.29 3
2 385 40.28 17.15 3
2 386 38.11 15.33 3
2 389 35.54 14.31 3
2 397 51.06 17 3
2 399 50.03 19.58 3
2 400 51.15 22.35 3
2 403 49.5 18.17 3
2 404 49.12 16.37 3
2 409 46.05 18.13 3
2 410 46.15 20.09 3
2 412 46.47 23.36 3
2 413 47.1 27.35 3
2 415 45.39 25.37 3
2 416 44.26 26.06 3
2 419 45.2 14.27 3
2 420 45.48 15.58 3
2 423 44.5 20.3 3
2 424 42.38 18.07 3
2 427 42.41 23.19 3
2 430 42.3 27.28 3
2 433 38.15 21.44 3
2 435 35.2 25.09 3
2 437 68.58 33.05 3
2 440 59.25 24.45 3
2 441 56.57 24.06 3
2 443 54.41 25.19 3
2 446 50.26 30.31 3
2 448 55.45 37.35 3
2 449 56.2 44 2
2 452 51.4 39.1 2
2 456 47.14 39.42 2
2 458 46.21 48.03 2
2 461 40.23 49.51 2
2 464 67.27 63.58 2
2 466 55 73.24 2
2 468 56.01 92.5 2
2 469 49.5 73.1 2
2 470 43.15 76.57 2
2 473 38.35 68.48 2
2 478 62.13 129.49 4
2 481 59.34 150.48 4
2 482 50.17 127.32 4
2 485 46.58 142.42 4
2 486 43.1 131.56 4
2 488 38.25 27.09 3
2 491 39.45 37.02 2
2 494 37.01 35.18 2
2 495 36.12 37.1 2
2 497 33.3 36.18 2
2 501 32.04 34.46 2
2 507 14.48 42.57 2
2 509 14.32 49.08 2
2 510 23.37 58.35 2
2 512 25.17 51.32 2
2 514 24.38 46.43 2
2 516 30.3 47.47 2
2 517 33.21 44.25 2
2 518 35.28 44.28 2
2 522 35.4 51.26 2
2 523 34.19 47.04 2
2 527 30.17 57.05 2
2 529 34.2 62.12 2
2 533 31.35 74.18 2
2 538 25.22 68.22 2
2 543 26.55 75.49 2
2 544 26.28 80.21 2
2 545 25.2 83 2
2 547 22.32 88.22 2
2 552 17.23 78.29 2
2 555 12.59 77.35 2
2 558 9.56 78.07 2
2 563 22.2 91.5 4
2 566 18.47 98.59 4
2 569 21.02 105.51 4
2 575 5.25 100.2 4
2 578 3.35 98.4 4
2 579 -0.57 100.21 4
2 582 -6.54 107.36 4
2 585 -8.39 115.13 4
2 586 -10.1 123.35 4
2 587 -3.2 114.35 4
2 598 14.35 121 4
2 599 22.17 114.09 4
2 603 36.03 103.41 4
2 604 34.15 108.52 4
2 607 25.05 102.4 4
2 609 26.06 119.17 4
2 612 31.14 121.28 4
2 621 39.01 125.45 4
2 624 43.03 141.21 4
2 628 35.1 136.55 4
2 634 31.36 130.33 4
2 635 26.13 127.4 4
2 638 -4.12 152.12 4
2 639 -9.3 147.1 4
2 643 -37.49 144.58 4
2 644 -42.53 147.19 4
2 650 -43.32 172.38 4
2 654 -14.16 -170.42 5
2 659 11.35 165.23 4
2 660 21.19 -157.52 5
3 1 90 0 2
3 2 71.17 -156.47 1
3 4 61.13 -149.53 1
3 7 53.33 -113.28 1
3 9 50.25 -104.39 1
3 11 49.53 -97.09 1
3 13 43.39 -79.23 1
3 16 46.49 -71.14 1
3 22 37.48 -122.24 1
3 23 34.03 -118.15 1
3 32 41.16 -95.57 1
3 36 29.46 -95.22 1
3 38 41.53 -87.38 1
3 45 33.45 -84.23 1
3 47 40.43 -74.01 1
3 53 28.38 -106.05 1
3 57 22.09 -100.59 1
3 60 19.03 -98.12 1
3 66 17.3 -88.12 1
3 68 13.42 -89.12 1
3 71 9.56 -84.05 1
3 77 18.32 -72.2 1
3 78 18.28 -69.54 1
3 79 18.28 -66.07 1
3 81 13.06 -59.37 1
3 82 10.39 -61.31 1
3 85 5.5 -55.1 1
3 87 10.3 -66.56 1
3 89 10.59 -74.48 1
3 90 6.15 -75.35 1
3 92 3.27 -76.31 1
3 94 -0.13 -78.3 1
3 96 -2.1 -79.5 1
3 98 -8.07 -79.02 1
3 99 -12.03 -77.03 1
3 100 -13.31 -71.59 1
3 102 -16.3 -68.09 1
3 103 -17.48 -63.1 1
3 105 -23.39 -70.24 1
3 106 -33.27 -70.4 1
3 107 -36.5 -73.03 1
3 108 -53.09 -70.55 1
3 110 -38.43 -62.17 1
3 112 -34.5 -56.12 1
3 114 -32.57 -60.4 1
3 118 -25.16 -57.4 1
3 119 -30.04 -51.11 1
3 123 -22.54 -43.14 1
3 125 -19.55 -43.56 1
3 126 -20.27 -54.37 1
3 129 -15.47 -47.55 1
3 130 -12.59 -38.31 1
3 131 -8.03 -34.54 1
3 132 -5.47 -35.13 1
3 134 -5.05 -42.49 1
3 135 -2.31 -44.16 1
3 136 -1.27 -48.29 1
3 138 -8.46 -63.54 1
3 139 14.55 -23.31 2
3 141 32.38 -16.54 2
3 144 34.02 -6.51 2
3 146 35.48 -5.45 2
3 147 35.43 -0.43 2
3 149 22.56 5.3 2
3 150 36.22 6.37 2
3 151 36.48 10.11 2
3 155 31.12 29.54 2
3 156 31.16 32.18 2
3 161 15.36 32.32 4
3 164 15.2 38.53 4
3 165 9 38.5 4
3 166 11.36 43.09 4
3 173 10.23 -9.18 4
3 177 5.19 -4.02 4
3 180 6.08 1.13 4
3 181 6.29 2.37 4
3 183 13.31 2.07 4
3 186 12.07 15.03 4
3 187 6.27 3.24 4
3 190 3.45 8.47 4
3 191 3.52 11.31 4
3 195 -4.18 15.18 4
3 197 -5.54 22.25 4
3 200 -1.57 30.04 4
3 201 0.19 32.25 4
3 203 2.01 45.2 4
3 205 -6.1 39.11 4
3 207 -8.48 13.14 4
3 208 -12.44 15.47 4
3 210 -12.49 28.13 4
3 213 -17.5 31.03 4
3 214 -15.47 35 4
3 215 -19.49 34.52 4
3 217 -15.57 -5.42 4
3 218 -37.15 -12.3 4
3 221 -26.38 15.1 4
3 222 -24.45 25.55 4
3 224 -26.15 28 4
3 225 -29.12 26.07 4
3 226 -29.55 30.56 4
3 227 -33 27.55 4
3 232 -12.16 49.17 4
3 234 -4.38 55.27 4
3 236 38.43 -9.08 2
3 238 37.23 -5.59 2
3 243 38.21 -0.29 2
3 244 39.28 -0.22 2
3 250 43.22 -8.23 2
3 252 39.34 2.39 2
3 254 44.5 -0.34 2
3 256 43.18 5.24 2
3 258 43.42 7.23 2
3 260 45.5 1.16 2
3 263 45.1 5.43 2
3 264 48.24 -4.29 2
3 268 49.3 0.08 2
3 269 48.52 2.2 2
3 270 49.15 4.02 2
3 278 51.03 3.43 2
3 280 51.26 5.28 2
3 281 51.55 4.28 2
3 282 52.22 4.54 2
3 285 50.23 -4.1 2
3 287 50.5 -0.08 2
3 293 53.3 -2.15 2
3 294 53.23 -1.3 2
3 297 55.57 -3.13 2
3 301 60.09 -1.09 2
3 304 52.4 -8.38 2
3 305 53.2 -6.15 2
3 315 60.27 22.17 2
3 316 60.1 24.58 2
3 317 63.25 10.25 2
3 319 58.58 5.45 2
3 321 57.43 11.58 2
3 324 59.2 18.03 2
3 329 53.04 8.49 2
3 332 54.05 12.07 2
3 334 52.24 9.44 2
3 338 50.44 7.05 2
3 340 51.12 6.47 2
3 341 51.17 7.17 2
3 344 51.32 7.13 2
3 349 51.19 12.2 2
3 350 50.5 12.55 2
3 352 49.14 6.59 2
3 354 49.25 8.43 2
3 358 48.46 9.11 2
3 359 49.01 12.06 2
3 362 46.31 6.38 2
3 364 47.33 7.35 2
3 365 47.23 8.32 2
3 368 48.18 14.18 2
3 373 45.27 11 2
3 374 45.27 12.21 2
3 377 44.29 11.2 2
3 382 40.51 14.17 2
3 383 41.27 15.34 2
3 384 41.07 16.52 2
3 387 37.3 15.06 2
3 390 53.24 14.32 2
3 391 54.23 18.4 2
3 395 52.15 21 2
3 398 50.16 19 2
3 401 49.45 13.23 2
3 402 50.05 14.26 2
3 405 48.09 17.07 2
3 406 48.43 21.15 2
3 407 47.3 19.05 2
3 414 45.48 24.09 2
3 417 44.11 28.39 2
3 421 43.31 16.27 2
3 422 43.52 18.25 2
3 425 41.59 21.26 2
3 426 41.2 19.5 2
3 428 42.09 24.45 2
3 429 43.13 27.55 2
3 432 40.38 22.56 2
3 434 37.58 23.43 2
3 436 35.1 33.22 2
3 438 64.34 40.32 2
3 439 59.55 30.15 2
3 442 54.43 20.3 2
3 445 49.5 24 2
3 450 55.45 49.08 5
3 451 53.12 50.09 5
3 454 48.27 34.59 2
3 455 44.36 33.32 2
3 460 40.11 44.3 5
3 462 58 56.15 5
3 463 56.51 60.36 5
3 465 69.2 88.06 5
3 467 55.02 82.55 5
3 471 41.2 69.18 5
3 472 39.4 66.48 5
3 474 43.48 87.35 5
3 475 52.16 104.2 5
3 477 52.03 113.3 3
3 479 64.45 177.29 3
3 480 53.01 158.39 3
3 483 50.35 137.02 3
3 489 39.56 32.52 2
3 490 38.43 35.3 2
3 492 39.55 41.17 5
3 493 37.55 40.14 5
3 498 33.53 35.3 2
3 499 31.57 35.56 2
3 500 32.5 35 2
3 503 24.28 39.36 5
3 505 21.27 39.49 5
3 506 15.23 44.12 5
3 508 12.45 45.12 5
3 511 25.18 55.18 5
3 515 29.2 47.59 5
3 520 38.05 46.18 5
3 521 37.16 49.36 5
3 524 30.2 48.16 5
3 525 32.4 51.38 5
3 526 29.36 52.32 5
3 528 36.18 59.36 5
3 530 31.32 65.3 5
3 531 34.31 69.12 5
3 532 33.36 73.04 5
3 535 30.11 71.29 5
3 537 27.42 68.52 5
3 539 24.52 67.03 5
3 540 30.19 78.02 5
3 541 28.4 77.13 5
3 542 26.17 73.02 5
3 546 25.36 85.07 5
3 549 21.09 79.06 5
3 550 20.3 85.5 5
3 553 17.42 83.18 5
3 554 15.21 75.1 5
3 559 6.56 79.51 5
3 560 27.43 85.19 5
3 562 23.43 90.25 5
3 564 22 96.05 5
3 565 16.47 96.1 5
3 568 17.58 102.36 3
3 571 16.04 108.13 3
3 572 10.45 106.4 3
3 574 13.45 100.31 3
3 576 3.1 101.42 3
3 580 -2.55 104.45 3
3 581 -6.1 106.48 3
3 584 -7.15 112.45 3
3 588 1.33 110.2 3
3 589 4.56 114.55 3
3 590 -0.3 117.09 3
3 592 1.29 124.51 3
3 593 -3.43 128.12 3
3 595 7.04 125.36 3
3 596 10.18 123.54 3
3 600 22.38 120.17 3
3 602 29.4 91.09 5
3 605 30.39 104.04 3
3 608 23.06 113.16 3
3 610 30.36 114.17 3
3 611 32.03 118.47 3
3 613 34.48 113.39 3
3 614 36.06 120.19 3
3 615 37.55 112.3 3
3 616 39.08 117.12 3
3 618 38.53 121.35 3
3 620 45.45 126.41 3
3 622 37.33 126.58 3
3 623 35.06 129.03 3
3 625 39.43 140.07 3
3 626 38.15 140.53 3
3 627 35.42 139.46 3
3 629 36.34 136.39 3
3 631 34.4 135.3 3
3 632 34.24 132.27 3
3 636 13.28 144.47 3
3 637 -2.32 140.42 3
3 640 -12.28 130.5 3
3 641 -31.56 115.5 3
3 642 -34.55 138.35 3
3 645 -33.52 151.13 3
3 647 -19.16 146.48 3
3 648 -23.42 133.53 3
3 649 -45.52 170.3 3
3 651 -41.18 174.47 3
3 652 -36.52 174.46 3
3 655 -18.08 178.25 3
3 656 -22.16 166.27 3
3 658 -0.32 166.55 3
3 664 -25.04 -130.06 1
3 665 -27.07 -109.22 1
3 666 -90 0 4
